1,2
1,3
1,4
1,5
1,6
1,7
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
3,5
3,8
3,9
3,12
3,16
3,17
3,18
3,19
4,5
4,6
4,11
4,14
4,15
4,20
4,21
4,22
4,23
4,24
5,6
5,8
5,11
5,12
5,13
5,14
5,15
5,22
5,25
6,7
6,12
6,13
6,14
6,25
6,26
6,27
6,28
8,9
8,12
8,16
8,17
8,18
8,20
8,30
8,34
8,38
9,16
9,17
9,20
9,31
9,39
10,11
10,22
10,32
11,15
11,22
11,24
11,30
11,45
12,16
12,18
12,25
12,30
12,38
12,40
12,46
12,47
13,14
13,26
14,16
14,22
14,26
14,27
14,33
15,24
15,32
16,17
16,18
16,19
16,20
16,29
16,30
16,32
16,33
16,34
17,18
17,19
17,20
17,30
17,35
17,39
17,40
17,41
17,42
17,43
19,48
20,21
20,29
20,30
20,31
21,23
22,24
22,27
23,45
26,27
29,34
29,35
30,31
30,36
30,37
32,44
34,35
34,49
37,46
50,51
