1,2
2,3
2,4
2,5
2,6
2,7
3,8
3,9
3,10
4,16
4,17
4,18
5,46
5,47
5,48
6,9
6,10
6,38
7,16
7,17
7,18
9,30
9,32
9,33
9,34
9,35
9,36
9,37
10,31
10,32
10,33
10,35
10,36
10,37
10,64
10,65
11,12
11,13
12,14
12,15
13,14
13,15
13,41
13,66
13,67
13,68
13,69
13,70
16,32
16,33
16,40
16,41
16,42
16,43
16,44
16,45
17,32
17,33
17,40
17,41
17,44
17,45
18,32
18,33
18,40
18,41
18,42
18,43
18,44
18,45
19,20
19,21
19,22
19,23
19,24
21,25
21,26
21,27
21,28
22,29
26,29
26,54
26,55
26,56
26,57
27,54
27,56
27,57
28,58
28,59
28,60
29,47
29,48
29,51
29,52
29,53
30,31
31,34
31,38
31,39
32,33
32,38
32,39
33,35
33,38
33,39
34,71
36,89
37,89
38,64
38,65
39,65
44,89
45,89
47,48
47,49
47,50
48,48
48,52
48,54
48,55
49,50
49,71
49,75
49,76
49,77
49,78
49,87
50,50
50,75
50,97
50,98
50,99
51,56
52,56
53,56
54,55
55,55
55,57
58,61
59,61
60,61
61,74
62,63
66,70
67,71
67,72
67,73
68,74
69,75
69,76
69,77
69,78
69,79
70,71
70,72
70,73
70,80
70,82
70,83
70,91
70,92
70,93
70,94
70,95
70,96
71,84
74,78
74,79
74,84
75,90
78,97
78,99
78,100
79,97
79,100
80,81
80,82
81,83
82,83
84,85
84,86
84,87
84,88
97,99
99,99
99,100
